Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_footprint,-0.278585691762885,-0.466679102042072,0.0480195977007997,0,0,0,0.00396620122104983,1.28199259086794E-06,1.48868654597721E-06,-8.95371630187866E-23,1.94183452880131E-06,8.00302803774393E-23,3.21956239570296E-06,0,0,0,0,0,0,package://oro_v5/meshes/base_footprint.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://oro_v5/meshes/base_footprint.STL,,Temp-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_link,-0.0592357018397242,-0.000351282404628678,0.0201575907136557,0,0,0,1.32144840386241,0.00135545914237128,-1.92792410405448E-07,5.02237151445155E-08,0.000617406302650874,1.28465629217555E-06,0.00194060505203685,0,0,0,0,0,0,package://oro_v5/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://oro_v5/meshes/base_link.STL,,Waffle_PI-1,Origin_base_link,,base_link_joint,fixed,0,0,0.033,0,0,0,base_footprint,0,0,0,,,,,,,,,,,,
neck,5.1035235981059E-05,3.02250471614801E-06,0.451367324075199,0,0,0,1.10926754952808,0.0564255773084723,-9.03977213539907E-10,-1.8295188859103E-07,0.0564818854150741,-4.18069407431348E-11,0.000391068830002546,0,0,0,0,0,0,package://oro_v5/meshes/neck.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://oro_v5/meshes/neck.STL,,Pan Assembly-1;Neck Assembly-1,Origin_neck_joint,,neck_joint,fixed,-0.064,0,0.06825,0,0,0,base_link,0,0,0,,,,,,,,,,,,
pan,-2.50155840103294E-05,-3.07858331118482E-05,0.0205898386906647,0,0,0,0.0446711229185335,1.24180241554179E-05,-4.29119054433953E-13,2.44763767130907E-09,1.04151202907413E-05,-1.82749851584174E-07,7.78082243124466E-06,0,0,0,0,0,0,package://oro_v5/meshes/pan.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://oro_v5/meshes/pan.STL,,Tilt Assembly-1,Origin_pan_joint2,Axis_pan_joint2,pan_joint,continuous,0.01275,2.54E-05,0.98748,0,0,3.1416,neck,0,0,1,,,,,,,,,,,,
tilt,0.00118385527699938,0.0139616359862273,-0.0783421837132383,0,0,0,0.190333592129278,0.000184137194903989,-1.52842480239196E-06,6.62804385986329E-08,0.000483856390372872,5.06450642269186E-08,0.000309913696954649,0,0,0,0,0,0,package://oro_v5/meshes/tilt.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://oro_v5/meshes/tilt.STL,,Head Assembly-1/FR07-H101K (1)-1;Head Assembly-1/Display Mock-1;Head Assembly-1/Head Mount-1,Origin_tilt_joint2,Axis_tilt_joint2,tilt_joint,continuous,-0.00025,0,0.04092,3.1416,0,-1.5708,pan,1,0,0,,,,,,,,,,,,
depth_cam,1.57606088716095E-05,4.46446457066766E-10,4.41076423629561E-06,0,0,0,0.153126621719673,0.000375847392851875,1.29137498305324E-13,-2.26757644251101E-09,2.29360924151489E-05,1.98626115149137E-12,0.000377927282615239,0,0,0,0,0,0,package://oro_v5/meshes/depth_cam.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://oro_v5/meshes/depth_cam.STL,,Head Assembly-1/ZED-1,Origin_depth_cam_joint,Axis_depth_cam_joint,depth_cam_joint,continuous,0,-0.0014699,-0.14958,3.1416,0,1.5708,tilt,0,1,0,,,,,,,,,,,,
base_scan,0.00862865863959544,0.000140843030897758,-1.73967868891121E-05,0,0,0,0.0530538694104072,1.81416003681575E-05,4.99055692614564E-06,-2.62458054720209E-08,4.46011025061381E-05,1.92490809961404E-08,3.57220957812171E-05,0,0,0,0,0,0,package://oro_v5/meshes/base_scan.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://oro_v5/meshes/base_scan.STL,,Lidar Assembly-1/LDS.stp-1,Origin_scan_joint,,scan_joint,fixed,0.051435,0,0.08795,1.5708,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
wheel_right_link,-0.0577959024723893,-0.164720891612344,-0.201308502278482,0,0,0,5.58292770809024,0.792771487456648,0.000179059503237664,0.00254861613372677,0.772803280888675,0.0299232164799445,0.0643045890784704,0,0,0,0,0,0,package://oro_v5/meshes/wheel_right_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://oro_v5/meshes/wheel_right_link.STL,,Wheel-2,Origin_wheel_right_joint,Axis_wheel_right_joint2,wheel_right_joint,continuous,0,-0.1349,0,3.1416,0,0,base_link,0,1,0,,,,,,,,,,,,
wheel_left_link,-0.0577959024723887,-0.105071084134463,0.201308502278483,0,0,0,5.58292770809024,0.792771487456648,-0.000179059503237577,-0.00254861613372877,0.772803280888676,0.0299232164799445,0.0643045890784704,0,0,0,0,0,0,package://oro_v5/meshes/wheel_left_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://oro_v5/meshes/wheel_left_link.STL,,Wheel-1,Origin_wheel_left_joint,Axis_wheel_left_joint2,wheel_left_joint,continuous,0,0.1349,0,0,0,0,base_link,0,1,0,,,,,,,,,,,,
castor_back_right_link,0.119204097527611,-0.0341750962610596,0.224558502278483,0,0,0,5.58292770809024,0.792771487456648,-0.000179059503237581,-0.00254861613372879,0.772803280888676,0.0299232164799445,0.0643045890784704,0,0,0,0,0,0,package://oro_v5/meshes/castor_back_right_link.STL,0.101960784313725,0.101960784313725,0.101960784313725,1,0,0,0,0,0,0,package://oro_v5/meshes/castor_back_right_link.STL,,Castor Wheel-2,Origin_castor_back_left_joint,,castor_back_right_joint,fixed,-0.177,0.064,-0.02325,0,0,0,base_link,0,0,0,,,,,,,,,,,,
